"ZONE","PAYS","VILLE","UNIVERSITE PARTENAIRE OFFRE DE SÉJOUR","Cadre / Type de mobilité","Nombre places","Commentaires pour les étudiants
Les informations sont données à titre indicatif. Elles peuvent être modifiées par l'université d'accueil au moment de l'établissement du dossier d'inscription.","Category (indicative) C1/C2/C3","ANGLAIS","Langue Locale","DEPART E4","DEPART E5","DEPART en E4
pour le 1er semestre E4","DEPART en E4
pour le 2e semestre E4","DEPART en E5
pour le 1e semestre E5","AIC","BIO","CYB","DSIA","ENE","GI","INF","SE","SEI","Parcours MGT en 5e année","DEPART Apprentis pour le 1e semestre E5","FE","FG","FI","FR","FT","Parcours MGT"
"EUROPE","AUTRICHE","VIENNE","TU WIEN
Faculty of Electrical Engineering and Information  Technology","Erasmus+ Etudes (SMS)","2","10-15% des cours sont dispensés en anglais.
Pour les cours enseignés en langue allemande, le niveau minimum d'allemand requis est B1. Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C1","","GE","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","","OUI",""
"EUROPE","BELGIQUE","BRUXELLES","UNIVERSITÉ LIBRE DE BRUXELLES
Ecole Polytechnique de Bruxelles","Erasmus+ Etudes (SMS)","3","","C1","","FR","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","",""
"EUROPE","BELGIQUE","MONS","UNIVERSITÉ DE MONS
Faculté polytechnique","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C1","OUI","FR","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI",""
"EUROPE","CHYPRE","NICOSIE","UNIVERSITY OF CYPRUS
Department of Electrical and Computer Engineering","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. M.Sc. Intelligent Critical Infrastructure Systems
M.Sc. Electrical and Computer Engineering","C2","OUI","","OUI","OUI","OUI","","OUI","OUI","","","","","","OUI","","","","OUI","","","OUI","","",""
"EUROPE","ESPAGNE","BARCELONE","LA SALLE - UNIVERSITAT DE RAMON LLULL","Erasmus+ Etudes (SMS)","2","GPA : minimum de 2.5 / 4.0
Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Programme proposé : International Computer Engineering","C1/2","OUI","","OUI","","OUI","","","OUI","","","OUI","","","OUI","OUI","OUI","","","","","","","",""
"EUROPE","ESPAGNE","BARCELONE","LA SALLE - UNIVERSITAT DE RAMON LLULL","Erasmus+ Etudes (SMS)","Voir ci- dessus","GPA : minimum de 2.5 / 4.0
Les cours sont enseignés dans les deux langues (anglais et espagnol/catalan), le niveau minimum d'espagnol/catalan requis est B2 et le niveau minimum d'anglais requis est B2.
Programme proposé : Management of ICT engineering","C2","OUI","ESP/CAT","","OUI","","","OUI","MGT","MGT","MGT","MGT","MGT","MGT","MGT","MGT","MGT","OUI","OUI","MGT","MGT","MGT","MGT","MGT","OUI"
"EUROPE","ESPAGNE","BARCELONE","UNIVERSITAT POLITECNICA DE CATALUNYA  -  ESEIAAT
Escola Superior d'Enginyeries Industrial, 
Aeroespacial i Audivisual de Terrassa","Erasmus+ Etudes (SMS)","3","Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés en langue espagnole/catalane, le niveau minimum d'espagnol/catalan requis est B1.","C2","OUI","ESP/CAT","OUI","OUI","OUI","OUI","OUI","OUI","","","","","OUI","OUI","OUI","","","OUI","OUI","OUI","OUI","","",""
"EUROPE","ESPAGNE","BARCELONE","UNIVERSITAT POLITECNICA DE CATALUNYA -  ETSETB
Escola Tècnica Superior d'Enginyeria de 
Telecomunicació de Barcelona","Erasmus+ Etudes (SMS)","4","Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.
Si les cours sont enseignés en langue espagnole/catalane, le niveau minimum d'espagnol/catalan requis est B1.","C1/2","OUI","ESP/CAT","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","","","","OUI","","OUI","OUI","","","OUI","",""
"EUROPE","ESPAGNE","BARCELONE","UNIVERSITAT POLITECNICA DE CATALUNYA –  FIB
Facultat d'Informàtica de Barcelona","Erasmus+ Etudes (SMS)","2","Si les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1/B2.
Si les cours sont enseignés en langue espagnole/catalane, le niveau minimum d'espagnol/catalan requis est B1.","C1","OUI","ESP/CAT","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","","OUI","","","","OUI","","","OUI","OUI","",""
"EUROPE","ESPAGNE","ELCHE","UNIVERSIDAD MIGUEL HERNANDEZ DE ELCHE","Erasmus+ Etudes (SMS)","4","Pour les cours enseignés en langue espagnole le niveau minimum d'espagnol requis est B1 (pour l'inscription, un certificat A2 est accepté mais l'étudiant devra fournir un certificat B1 avant le début du semestre.","C3","","ESP","OUI","OUI","","OUI","OUI","","OUI","","","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI","","","OUI",""
"EUROPE","ESPAGNE","MADRID","UNIVERSIDAD PONTIFICIA COMILLAS
ICAI School of Engineering","Erasmus+ Etudes (SMS)","4","Les cours sont enseignés en langue espagnole le niveau minimum d'espagnol requis est B1.","C1","","ESP","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI"
"EUROPE","ESPAGNE","PAMPELUNE","UNIVERSIDAD PÚBLICA DE NAVARRA","Erasmus+ Etudes (SMS)","3","Les cours sont enseignés en langue espagnole le niveau minimum d'espagnol requis est B1.","C2","","ESP","OUI","OUI","OUI","","OUI","OUI","","","OUI","","","OUI","","","","OUI","OUI","","OUI","OUI","",""
"EUROPE","ESPAGNE","SALAMANQUE","UNIVERSIDAD DE SALAMANCA
Faculty of Science","Erasmus+ Etudes (SMS)","1","Les cours sont enseignés en langue espagnole le niveau minimum d'espagnol requis est B1.","C2","","ESP","OUI","","OUI","","","OUI","","","","","","OUI","","","","","","","","","",""
"EUROPE","HONGRIE","BUDAPEST","BUDAPEST UNIVERSITY OF TECHNOLOGY &  ECONOMICS","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C2/3","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","OUI",""
"EUROPE","ITALIE","BOLOGNA","ALMA MATER STUDIORUM - UNIVERSITÀ DI  BOLOGNA
Facultà di Ingegniera","Erasmus+ Etudes (SMS)","7","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Pour les cours enseignés en langue italienne, le niveau minimum d'Italien requis est A2.
Min. 50% des cours imposé au Dpt ""Engineering & Architecture"" Lauree Magistrale / Second cycle degree
- Programmes in Ingegneria are in English
- Programmes in Computer Science and in Industrial Engineering are in Italian
- Biotechnology is in Cesena Campus, in Italian, Bio-Informatics is in English in Bologna campus","C2","OUI","IT","OUI","OUI","","OUI","OUI","IT","OUI","","IT","OUI","IT","IT","OUI","OUI","","","","","","","",""
"EUROPE","ITALIE","MILAN","POLITECNICO DI MILANO","Erasmus+ Etudes (SMS)","5 + 4 en MGT","Cette destination dépasse la durée du semestre initial et nécessite aux apprentis de poser des congés ou d'obtenir l'accord de leur entreprise.
Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Pour les cours enseignés en langue italienne, le niveau minimum d'italien requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'anglais requis est B2 et le
niveau minimum d'italien requis est B1.","C1","OUI","IT","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI"
"EUROPE","ITALIE","ROME","UNIVERSITÀ DEGLI STUDI DI ROMA TOR  VERGATA","Erasmus+ Etudes (SMS)","6 par semestre","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2. Pour les cours enseignés en langue italienne, le niveau minimum d'italien requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'anglais requis est B2 et le
niveau minimum d'italien requis est B1.","C1","OUI","IT","OUI","OUI","","OUI","OUI","","","","","","","","OUI","OUI","","","","","","","",""
"EUROPE","ITALIE","ROME","UNIVERSITÀ DEGLI STUDI DI ROMA “La Sapienza”","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
Pour les cours enseignés en langue italienne, le niveau minimum d'italien requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'anglais requis est B1 et le niveau minimum d'italien requis est B1.","C2","OUI","IT","","OUI","","","OUI","OUI","IT","OUI","OUI","OUI","OUI","OUI","","","","","","","","","",""
"EUROPE","ITALIE","TURIN","UNIVERSITA DEGLI STUDI DI TORINO","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1. Pour les cours enseignés en langue italienne, le niveau minimum d'italien requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'anglais requis est B1 et le
niveau minimum d'italien requis est B1.","C2","OUI","IT","","OUI","","","OUI","OUI","","OUI","OUI","","","OUI","","","","OUI","","","OUI","OUI","",""
"EUROPE","ITALIE","TURIN","POLITECNICO DI TORINO","Erasmus+ Etudes (SMS)","2 ENE
2 SE/SEI","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C1","OUI","","OUI","OUI","","OUI","OUI","","","","","OUI","","","OUI","OUI","","","","","","","",""
"EUROPE","ITALIE","UDINE","UNIVERSITÀ DEGLI STUDI DI UDINE","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1. Pour les cours enseignés en langue italienne, le niveau minimum d'italien requis est B1.
Si les cours sont enseignés dans les deux langues, le niveau minimum d'anglais requis est B1 et le
niveau minimum d'italien requis est B1.","C1","OUI","IT","","OUI","","","OUI","OUI","IT","OUI","OUI","OUI","OUI","OUI","","OUI","","","","","","","",""
"EUROPE","LETTONIE","RIGA","RIGA TECHNICAL UNIVERSITY","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C2","OUI","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","","","OUI","OUI","OUI","","OUI","OUI","","OUI","OUI","",""
"EUROPE","NORVÈGE","OSLO","OSLOMET - OSLO METROPOLITAN UNIVERSITY,  FACULTY OF TECHNOLOGY, ART AND DESIGN","Erasmus+ Etudes (SMS)","5","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.
- Programme ""European Project Semester""
- MSc ""Accessibility & Digital Communication""","C2","OUI","","","OUI","","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI"
"EUROPE","PAYS-BAS","GRONINGEN","UNIVERSITY OF GRONINGEN
Faculty of Science and Engineering","Erasmus+ Etudes (SMS)","2","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B2/C1.","C1","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","","","OUI","","","","OUI","","","OUI","OUI","",""
"EUROPE","POLOGNE","LODZ","TECHNICAL UNIVERSITY OF LODZ
International Faculty of Engineering","Erasmus+ Etudes (SMS)","12","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B1+/B2.","C2","OUI","","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","OUI","","OUI","OUI","OUI","OUI","OUI","OUI",""
"EUROPE","POLOGNE","LUBLIN","LUBLIN UNIVERSITY OF TECHNOLOGY","Erasmus+ Etudes (SMS)","3","Pour les cours enseignés en langue anglaise, le niveau minimum d'anglais requis est B1.","C2","OUI","","OUI","OUI","OUI","","OUI","OUI","","","OUI","","","OUI","OUI","OUI","","OUI","","","OUI","OUI","",""
"EUROPE","POLOGNE","VARSOVIE","WARSAW  UNIVERSITY OF TECHNOLOGY
Faculty of Electronics and Information Technology","Erasmus+ Etudes (SMS)","2","Les cours sont enseignés en langue anglaise, le niveau minimum d'anglais requis est B2.","C3","OUI","","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","","","OUI","OUI","","OUI","OUI","OUI","","OUI","OUI","",""
